gene_name,fit_type,R2,R2_linear,coeff_0,coeff_1,coeff_2
Bahcc1,quadratic,1.0,0.008847914322195893,-0.0003601420387179491,-0.0005663467274358988,0.07896643000000002
Fabp5,quadratic,1.0,0.005042289404828648,0.0002404378304029305,0.0006978885893772892,0.012336998999999994
Ahcyl1,quadratic,1.0,0.004713950559404934,-0.0008444849675421256,-0.001501981475798539,0.16840675000000013
Jarid2,quadratic,1.0,0.00013935261742437088,-0.0005143529959706965,-0.0011502446062271086,0.10282371000000007
Prkar2b,quadratic,1.0,0.7544067401796293,0.0001453166029304029,-0.0017059012227106228,0.010015322000000002
Kazn,quadratic,1.0,0.6422384488009769,-0.00024117455311355326,-0.0031563189633699645,0.11281708000000004
Bcl7a,quadratic,1.0,0.3909445986981861,5.601931904761901e-05,0.0004908938523809524,0.022657220999999998
Rrp1,quadratic,1.0,0.3725178554800155,-0.00023719314358974382,-0.002020092287179489,0.08176252000000005
Zfp706,quadratic,1.0,0.0010836896667804075,-0.0013769058194871803,-0.0028455805389743633,0.2738994400000001
Zcchc11,quadratic,1.0,0.6698044904873397,0.00010538347197802198,-0.0009592935203296704,0.016366778000000005
Snrpn,quadratic,1.0,0.22698810391492763,-0.00021516350054945078,-0.00143758090824176,0.05748615000000004
Sec14l1,quadratic,1.0,3.8445564534361765e-05,0.00019835049413919413,0.00047224234542124564,0.0049400259999999975
Slc36a4,quadratic,1.0,0.5848823708481743,0.000151109867948718,0.0017922044858974355,0.021921853999999998
Camkv,quadratic,1.0,0.007280093978792035,-0.0003684208843406596,-0.0006055309651098914,0.07735844000000001
Ddx1,quadratic,1.0,0.12494120034983813,-0.0006854365375457883,-0.0036770633965201465,0.17313522000000003
Kat6a,quadratic,1.0,0.03434021970403045,-0.0002991079194139197,-0.001150061124542126,0.07457503000000003
Cadps,quadratic,1.0,0.003798188080339271,-0.0016477918775641036,-0.004657934830128208,0.3391162000000001
Osbpl3,quadratic,1.0,0.499447557822561,0.0002249528671794873,0.0023283107343589748,0.0012382458999999962
Cep350,quadratic,1.0,0.014405501875548232,-0.0008344203869963375,-0.001135235738278393,0.17216788000000008
Kdm2b,quadratic,1.0,0.5498781034648024,-0.00013460534340659346,-0.0015081431510989016,0.047728360000000004
Tspan18,quadratic,1.0,0.16777544521618526,-0.0009002175500366307,0.0011464158427838774,0.22598848000000007
Slc38a2,quadratic,1.0,0.03240261224024377,-0.000343815433919414,-0.0002963592821245418,0.07559331499999998
Stt3b,quadratic,1.0,0.3732571652049076,-0.00017872618791208813,0.0006906519813186809,0.068019405
Zfx,quadratic,1.0,0.006128267104086538,0.0002050578494139194,0.0006072712345421249,0.0028992203999999968
Gigyf2,quadratic,1.0,0.12026220166894097,-0.0005202233075091578,0.0003314599206959694,0.15414946
Sec62,quadratic,1.0,0.7887057413556551,-8.87585990842493e-05,-0.0015835795195970706,0.05116125200000002
Cdip1,quadratic,1.0,0.0018949581033986806,-0.00028842138369963394,-0.0007732200888278399,0.06831211600000002
4931406P16Rik,quadratic,1.0,0.00833140129734422,0.000225387871978022,0.00035954527967032955,0.008875891000000009
Aqr,quadratic,1.0,0.9416117900310396,5.027360512820508e-05,0.00173796121025641,0.02385202000000001
Btbd9,linear,0.9991515861962842,0.9991515861962842,-0.0023505816122241087,0.033849684191850575,
Tmem170b,quadratic,1.0,0.46419485306158714,0.00012957916630036627,-0.0006661972388278389,0.013369441000000003
AW549877,quadratic,1.0,0.677862247357338,0.00022186929820512826,-0.0020665846535897433,0.0023462481000000052
Man2a2,quadratic,1.0,0.04959765714524167,-0.0001741830344322346,-0.0007254737831501837,0.05132999600000002
Pdia6,quadratic,1.0,0.9008300440753061,3.734806794871795e-05,-0.0008166041141025644,0.024402099999999996
Dync1i2,quadratic,1.0,0.007236254990322988,-0.0013114290749267408,-0.002158183410567767,0.2676309
Ap1g1,quadratic,1.0,0.0043243766304083,-0.0004410926461538465,-0.0012615852923076939,0.10079945000000003
Sdk2,linear,0.9915252785638974,0.9915252785638974,0.001745089922410866,0.030321436214940566,
Gan,quadratic,1.0,0.3616514755921887,-7.500156135531147e-05,0.0002783709130036623,0.056661952000000015
Cnst,quadratic,1.0,0.5873332831896357,0.0001720811216117217,0.002049233957509157,0.007851333999999996
Plxna2,quadratic,1.0,0.5781223173739954,-0.00013121037545787569,-0.0015389447652014658,0.04534784000000003
Vps29,quadratic,1.0,0.0007755187466679248,0.00018176273043956045,0.00038304999659340686,0.005953858599999995
Med1,quadratic,1.0,0.13940486510047068,-0.00015213817802197825,-0.0008462150703296714,0.049870368000000026
Hmbox1,quadratic,1.0,0.0017491909301201591,-0.0011762855448717961,-0.003137296839743595,0.2548478000000002
Cacna1i,quadratic,1.0,0.32234681566156254,0.00019156694915750918,-0.0006141293159706957,0.0029536836999999984
