gene_name,slope_divergence_E15,slope_divergence_P0,slope_divergence_P13,predicted_divergence_P3,predicted_divergence_P7,fit_type,R2,R2_linear,CI_lower_P3,CI_upper_P3,CI_lower_P7,CI_upper_P7,rank_score_P3,rank_score_P7
Cacna1c,0.10421984,0.2964879,0.013597254,0.2682540392197803,0.19603020192307696,quadratic,1.0,0.07522707887990165,0.26825403921978025,0.2682540392197806,0.19603020192307682,0.19603020192307713,0.2682540392197803,0.19603020192307696
Ralgapa1,0.032832783,0.37191308,0.01566532,0.3432831587967035,0.25510090354615395,quadratic,1.0,2.316114728562191e-06,0.3432831587967032,0.34328315879670385,0.25510090354615356,0.2551009035461542,0.3432831587967035,0.25510090354615395
Hmgb1,0.0919699,0.3160177,0.023106376,0.2885672365494507,0.21449845830769237,quadratic,1.0,0.03403201789196619,0.2885672365494506,0.288567236549451,0.2144984583076922,0.2144984583076926,0.2885672365494507,0.21449845830769237
Rps3a1,0.04352093,0.3499634,0.027465127,0.324008997467033,0.24416606996153845,quadratic,1.0,8.83050959299414e-06,0.32400899746703293,0.32400899746703316,0.2441660699615383,0.24416606996153853,0.324008997467033,0.24416606996153845
Rpl10a,0.09772348,0.33337831,0.008342155,0.3019911484890111,0.21942849665384617,quadratic,1.0,0.05117002829059003,0.30199114848901104,0.3019911484890113,0.21942849665384603,0.21942849665384634,0.3019911484890111,0.21942849665384617
Rps9,0.09415204,0.2982883,0.017051177,0.2711474706538462,0.19971698934615387,quadratic,1.0,0.05077048877531998,0.2711474706538461,0.2711474706538464,0.19971698934615373,0.199716989346154,0.2711474706538462,0.19971698934615387
Timp3,0.2691877,0.06651628,0.075027384,0.05330238630769229,0.04984998969230767,quadratic,1.0,0.7535290062613502,0.053302386307692275,0.05330238630769242,0.04984998969230764,0.04984998969230777,0.05330238630769229,0.04984998969230767
Cacna1d,0.087944135,0.3041866,0.020334272,0.2775225296098901,0.20571947696153842,quadratic,1.0,0.03522491298743713,0.2775225296098901,0.2775225296098903,0.20571947696153842,0.2057194769615386,0.2775225296098901,0.20571947696153842
Rgs11,0.077419944,0.30891898,0.025439778,0.28340001853846164,0.21213537506153848,quadratic,1.0,0.017287098060106865,0.2834000185384615,0.283400018538462,0.2121353750615383,0.21213537506153873,0.28340001853846164,0.21213537506153848
Gabrb2,0.11560063,0.2985482,0.000112112386,0.2673423980462747,0.1905815353171538,quadratic,1.0,0.11926611010574595,0.2673423980462746,0.26734239804627474,0.19058153531715372,0.19058153531715383,0.2673423980462747,0.1905815353171538
Eef2,0.08202273,0.30122483,0.026556931,0.27613468729120877,0.20693939042307688,quadratic,1.0,0.022601098427294297,0.27613468729120877,0.2761346872912091,0.20693939042307685,0.20693939042307713,0.27613468729120877,0.20693939042307688
Eif2s3x,0.019979093,0.37928942,0.04595833,0.3555042267087912,0.2741957607769231,quadratic,1.0,0.011212853342699058,0.3555042267087912,0.35550422670879167,0.274195760776923,0.27419576077692337,0.3555042267087912,0.2741957607769231
Ephb6,0.00030630047,0.40156657,0.008425154,0.37190484072467034,0.27536353633761534,quadratic,1.0,0.0034670584177242114,0.3719048407246702,0.37190484072467056,0.27536353633761523,0.27536353633761557,0.37190484072467034,0.27536353633761534
Begain,0.16218176,0.22830427,0.021492725,0.20234647282967042,0.14741932888461542,quadratic,1.0,0.4028411479337686,0.20234647282967033,0.2023464728296706,0.1474193288846153,0.14741932888461556,0.20234647282967042,0.14741932888461542
Tenm1,0.101847075,0.2749564,0.036712475,0.2519774728021978,0.19147182576923075,quadratic,1.0,0.050413069491247464,0.2519774728021978,0.251977472802198,0.19147182576923075,0.1914718257692309,0.2519774728021978,0.19147182576923075
Ftl1,0.035245173,0.3603813,0.009559928,0.33156038025824175,0.24447048608461536,quadratic,1.0,0.0006003394162809039,0.33156038025824175,0.3315603802582421,0.24447048608461525,0.24447048608461552,0.33156038025824175,0.24447048608461536
Ppp2r1a,0.025020141,0.36465192,0.07182401,0.34546982965384626,0.27472636674615386,quadratic,1.0,0.028189956334165878,0.34546982965384615,0.3454698296538465,0.2747263667461537,0.2747263667461541,0.34546982965384626,0.27472636674615386
Gria4,0.18488027,0.21316141,0.009588644,0.1849811360329671,0.12986258453846156,quadratic,1.0,0.5914857993586584,0.184981136032967,0.1849811360329673,0.12986258453846145,0.12986258453846172,0.1849811360329671,0.12986258453846156
Scn2a1,0.20836866,0.19327417,0.0015780235,0.1637575528269231,0.11066250517307691,quadratic,1.0,0.7707404539984106,0.16375755282692306,0.16375755282692328,0.11066250517307687,0.11066250517307702,0.1637575528269231,0.11066250517307691
Shank1,0.14201628,0.24851562,0.030349355,0.22375739068681325,0.1668644418846154,quadratic,1.0,0.22653965687032052,0.2237573906868132,0.22375739068681344,0.1668644418846153,0.16686444188461552,0.22375739068681325,0.1668644418846154
Cct5,0.04115815,0.34690234,0.027210228,0.3213143589340659,0.24222240392307687,quadratic,1.0,6.804221167944213e-06,0.3213143589340658,0.3213143589340661,0.2422224039230767,0.24222240392307703,0.3213143589340659,0.24222240392307687
Rpl3,0.08851906,0.25583586,0.055896956,0.2381257940219781,0.18797800369230772,quadratic,1.0,0.012367416581160806,0.23812579402197803,0.2381257940219784,0.18797800369230763,0.18797800369230794,0.2381257940219781,0.18797800369230772
Cpe,0.09962039,0.28457436,0.016381033,0.25799843571978026,0.18960334942307694,quadratic,1.0,0.06951935409125065,0.25799843571978026,0.25799843571978054,0.18960334942307688,0.1896033494230771,0.25799843571978026,0.18960334942307694
Lcor,0.06300776,0.3131366,0.03519353,0.28976963313186815,0.22055818515384615,quadratic,1.0,0.0024741702599249127,0.2897696331318681,0.2897696331318683,0.22055818515384606,0.22055818515384623,0.28976963313186815,0.22055818515384615
Cacna1a,0.062365245,0.32438126,0.012888196,0.29688618014835166,0.21879733442307686,quadratic,1.0,0.011429147802676343,0.2968861801483516,0.2968861801483519,0.2187973344230768,0.21879733442307706,0.29688618014835166,0.21879733442307686
Rorb,0.16944578,0.19196993,0.068225935,0.17522117222527483,0.1418691163461539,quadratic,1.0,0.5487945561039345,0.17522117222527475,0.175221172225275,0.1418691163461538,0.14186911634615404,0.17522117222527483,0.1418691163461539
