stream1_rank,gene_name,slope_MIA,slope_saline,slope_divergence,R2_MIA,R2_saline,R2_divergence,log2FC_E12.5,log2FC_E14.5,log2FC_E17.5,log2FC_P0,max_abs_log2FC,stream1_score
130,Fgf10,0.0748121416998596,0.1008061848311752,-0.0259940431313156,0.470306855857556,0.9520461446120142,,-0.0407033062864464,0.0744960276239404,1.0497490208336275,-0.4404203305909939,1.0497490208336275,0.02728722132460563
131,Pole2,-0.0960418043215797,-0.1237412156371405,0.0276994113155607,0.6755884698179648,0.9468005901543828,,-0.2398834653570049,-0.4644852201364154,-0.9820702450496896,0.1791791852370213,0.9820702450496896,0.027202767658404844
132,Ptk2b,0.2169114585950599,0.2296430505149922,-0.0127315919199323,0.7312672398045368,0.9855644173056188,,-0.15868341243262,0.5557769315058153,2.133109959313996,0.0338386539728237,2.133109959313996,0.027157885522329187
133,Zic1,-0.1013019274668102,-0.1238056403994552,0.022503712932645,0.6730790790812309,0.9645018862470452,,0.1272161764778122,0.1307414669882075,-1.2062784280261265,0.4830168643323845,1.2062784280261265,0.027145743461142225
134,Gadd45g,-0.1243193204957013,-0.1431677073681288,0.0188483868724274,0.810103898561399,0.9591602795036542,,0.1950532338105651,-0.3034298872101886,-1.4387413856234914,0.2604388158721332,1.4387413856234914,0.02711795424560382
135,Cenpf,-0.1237853924510316,-0.1434024034565078,0.0196170110054762,0.6575049879231427,0.9607939053235532,,-0.2156782419581251,-0.3683897456524158,-1.377024011107886,0.0346484053420634,1.377024011107886,0.02701309518070838
136,Apod,0.0510652609660952,0.0216755987864987,0.0293896621795964,0.6449444544725034,0.3736391237048597,,-0.9183228719251976,0.6298128045424249,-0.2321095301629217,0.3267656097765824,0.9183228719251976,0.02698919897767833
137,Kntc1,-0.1157764794331224,-0.1361015299375182,0.0203250505043957,0.6101610409974919,0.9611856138286312,,0.0094328900042824,-0.2660458542191725,-1.326150374401357,0.2135178504284615,1.326150374401357,0.026954073336130847
138,Abracl,-0.0480393429357598,-0.070639472326207,0.0226001293904472,0.5060752680865137,0.7583501739205828,,-0.1382675282394501,-0.4838260749578909,-1.1888649735442944,0.106989558837209,1.1888649735442944,0.02686850222987164
139,Fosl2,0.0770562263909893,0.1157844975902862,-0.0387282711992968,0.4447659515191019,0.7052830897424665,,0.6930991429804972,0.4348153278604612,0.6502124349272376,-0.1960608802744913,0.6930991429804972,0.026842531577348887
140,Polq,-0.0574446686980024,-0.0887114067661987,0.0312667380681962,0.3449755663927176,0.8581764293277512,,-0.1639093798720148,-0.1114712966960622,-0.85577236486978,0.4380259098807732,0.85577236486978,0.02675721037838424
141,Psrc1,-0.116415329782488,-0.1355145705333284,0.0190992407508403,0.6063950589147087,0.9705261212781996,,0.1148570202673848,-0.3068538593159983,-1.3922312389305995,0.2246115485373661,1.3922312389305995,0.026590559613176183
142,Pcdha5,0.0816844951069097,0.1085149113392663,-0.0268304162323565,0.4008350080440435,0.8324611552818493,,-0.0382175348336226,0.3850154098607632,0.9893594838837344,-0.3412823119839537,0.9893594838837344,0.02654492675603
143,Nsl1,-0.0986462443043495,-0.1248816657651405,0.0262354214607909,0.6042726123766726,0.9478415757024984,,0.1028175661218666,-0.4097098720528945,-1.0116890161640584,0.3527678432628138,1.0116890161640584,0.02654208772631697
