combined_rank,gene_name,rank_s1,stream1_score,rank_s2,stream2_score,combined_score,evidence
297,Tmem151a,153.0,0.0260314209420606,201.0,,0.005755536045263876,canales_only
298,Ckap2l,154.0,0.0260268103644947,201.0,,0.005734315435807973,canales_only
299,Adam26b,201.0,,154.0,0.4580043270403028,0.005734315435807973,kalish_only
300,B230209E15Rik,155.0,0.0259987329897864,201.0,,0.00571336864066763,canales_only
301,Adamts13,201.0,,155.0,0.457878551457245,0.00571336864066763,kalish_only
302,Adra1a,201.0,,156.0,0.4573013147175922,0.005692690394182931,kalish_only
303,Slc6a7,156.0,0.0259046762574182,201.0,,0.005692690394182931,canales_only
304,Csf3r,201.0,,157.0,0.456099582905622,0.005672275564850905,kalish_only
305,Clhc1,157.0,0.0259028746796671,201.0,,0.005672275564850905,canales_only
306,Olfr1390,201.0,,158.0,0.4553314011916706,0.005652119151080043,kalish_only
307,Ckap2,158.0,0.0258861237725934,201.0,,0.005652119151080043,canales_only
308,Nupr1,201.0,,159.0,0.4536850407758965,0.005632216277105041,kalish_only
309,Cecr2,159.0,0.0257401716383341,201.0,,0.005632216277105041,canales_only
310,Tpx2,160.0,0.025644521146011,201.0,,0.0056125621890547265,canales_only
311,Gm44271,201.0,,160.0,0.4523050138980506,0.0056125621890547265,kalish_only
312,Col14a1,161.0,0.0256287283929337,201.0,,0.005593152251166527,canales_only
313,Cldn18,201.0,,161.0,0.4522050756213348,0.005593152251166527,kalish_only
314,Gm9866,162.0,0.025532729671191,201.0,,0.005573981942141146,canales_only
315,Ctf2,201.0,,162.0,0.4514738568392896,0.005573981942141146,kalish_only
316,Pif1,163.0,0.0254901820737491,201.0,,0.005555046851631414,canales_only
317,Acrv1,201.0,,163.0,0.4512114177582724,0.005555046851631414,kalish_only
318,Rpa3,164.0,0.0253028792550703,201.0,,0.0055363426768596045,canales_only
319,Ifi204,201.0,,164.0,0.4508123437773438,0.0055363426768596045,kalish_only
320,Acta2,201.0,,165.0,0.4497862165013714,0.005517865219357756,kalish_only
321,Slc16a7,165.0,0.0252975059485088,201.0,,0.005517865219357756,canales_only
322,Fam64a,166.0,0.0252832974278076,201.0,,0.005499610381825811,canales_only
323,A330044P14Rik,201.0,,166.0,0.449622746314291,0.005499610381825811,kalish_only
324,Mns1,167.0,0.0252065452719593,201.0,,0.005481574165102631,canales_only
325,Gm17494,201.0,,167.0,0.4489292476887788,0.005481574165102631,kalish_only
326,Tshz3,168.0,0.0252062327823727,201.0,,0.005463752665245202,canales_only
327,Gm13986,201.0,,168.0,0.4484997381163376,0.005463752665245202,kalish_only
