gene_name,log2FC_E12.5,log2FC_E14.5,log2FC_E17.5,log2FC_P0
1700029J07Rik,0.2044018941322595,0.45650804443799176,-0.055380614751060285,0.49093280545132556
1700029M20Rik,-0.024129226497733736,0.017103871668570816,0.011186043485646035,-0.014003661099520327
1700029N11Rik,0.0,0.015156199218479329,0.0,0.0
1700029P11Rik,0.0,0.002800405633083825,0.0,-0.0086567463947113
1700030A11Rik,0.0,-0.004247944786090382,-0.0063334623201442945,0.0015465354882212188
1700030C10Rik,-0.12724686247881425,0.13176570121725775,0.13197939391177657,0.0347936111459866
1700030F04Rik,0.0,-0.010159950321092412,0.04066705256247727,-0.016479086800442733
1700030F18Rik,-0.0025603010193926724,0.0016114321604896835,0.005307327602601519,-0.010622957602735293
1700030J22Rik,-0.7540097462264452,0.08874877564736564,0.2964768224148257,-0.21387760357747854
1700030K09Rik,-0.13114603168037064,0.00043527855734215684,0.030639251101046122,-0.0012505416719084139
1700030L20Rik,0.0,0.0,0.0,-0.004511051754684115
1700030M09Rik,0.005000298428438605,0.0013504304730954481,-0.030533760353307307,0.0021550740845016876
1700030N03Rik,0.0,0.0,0.0,0.0
1700030O20Rik,0.0,0.0,0.0,0.0
1700031A10Rik,0.0,0.0,0.006301977542125473,0.0038189905365153655
1700031F05Rik,0.012035481185083593,0.018264710829364584,0.0,0.0
1700031M16Rik,0.0,0.0,0.0,0.0
1700031P21Rik,0.0,0.0,0.0,0.0
1700034E13Rik,0.0,0.0023042775180352913,0.0,0.0027750705177444473
1700034F02Rik,0.046391400811430845,-0.03354384046863378,0.012490683846727212,0.05134303236528057
1700034G24Rik,-0.04623257187843408,0.08707462580552489,-0.14702650757658384,-0.06377090213703357
1700034H15Rik,-0.01337837550631914,0.29564098371373243,0.057814573649526725,0.10262448089632922
1700034I23Rik,0.017720272386473227,0.021301986708661454,-0.0293189518393877,0.05131887515842503
1700034J05Rik,0.0,0.0026407606151979102,0.0,0.0
1700034K08Rik,0.0,0.0,0.0,0.0
1700034O15Rik,0.0,-0.010159950321092412,0.0,0.012507879439790948
1700034P13Rik,0.024235662603714136,-0.00906458132958651,0.07708021733956004,0.026674227260244373
1700036G14Rik,-0.009851782003200587,-0.012636002692412343,0.004694376195247821,0.004834882312639986
1700037C18Rik,-0.25449968097441733,-0.025097835303904036,0.3623285420096355,0.035363817381420595
1700037H04Rik,0.023001905669082296,-0.2690878426238041,-0.1108673029222433,-0.1772375906396389
1700039E15Rik,-0.0051758184688815035,0.022240714303518736,0.0,0.04334113610794341
1700039E22Rik,-0.005419132195665141,0.0026407606151979102,0.0,0.0
1700040L02Rik,-0.06551058868151777,0.17581587217201905,-0.060504831351017266,0.05505904795286016
1700041C23Rik,0.0,0.0,0.0,-0.00935326062662292
1700041M19Rik,0.0,0.0,-0.0065226454318745705,0.0
1700042B14Rik,0.0,0.0,0.0,0.0
1700042G07Rik,0.0,0.0,0.0,0.009344285340365955
1700042G15Rik,0.0,0.0,0.0,-0.0029939672455444044
1700042O10Rik,-0.0893803159655363,-0.03330270577374922,-0.0071382233220453955,0.006155648507934647
