rank,gene_name,perturbation_E15,perturbation_P0,perturbation_P13,mean_perturbation,transferability,rank_score,prior_dev_slope_ef,prior_dev_slope_wc,prior_direction_concordance,prior_stability,prior_baseline_expr
161,G530011O06Rik,0.06257657,0.63699436,0.30795223,0.33584106,0.68385476,0.2296665,0.44588095,0.5626912,1.0,0.8923209,0.05792034
162,Dnah6,0.03529635,0.25672168,0.58039814,0.29080537,0.7895731,0.22961208,0.68632483,0.4445577,1.0,0.5120505,0.05490451
163,RP24-316B1.1,0.09357589,0.6957135,0.123831615,0.30437368,0.7539939,0.22949591,0.61838853,0.47965544,1.0,0.56995654,0.028178452
164,P2ry14,0.25192365,0.5295326,0.07099476,0.28415033,0.8072452,0.22937898,0.7048669,0.55158573,1.0,0.4415408,0.05465104
165,Unc80,0.11146924,0.57102054,0.00832528,0.23027168,0.994348,0.22897018,0.84270287,0.75407577,1.0,0.5533179,0.38440353
166,Gm37478,0.02499227,0.6590084,0.0346372,0.23954596,0.95547795,0.22888088,0.7670743,0.475223,1.0,0.19380823,0.024897322
167,Rps5,0.07399328,0.5732643,0.0452431,0.23083355,0.9914754,0.22886579,0.25616112,0.35122642,1.0,0.50511956,0.60623544
168,Gm2956,0.18132858,0.4576653,0.08356028,0.24085139,0.9498373,0.22876965,0.38247564,0.3583156,1.0,0.9634421,0.087884456
169,Top2a,0.41680354,0.14219646,0.13561624,0.23153876,0.988034,0.22876817,0.16184883,0.10465135,1.0,0.21339267,0.34885082
170,Rab27b,0.12090608,0.58324295,0.032094873,0.24541463,0.93097967,0.22847603,0.6953473,0.6830546,1.0,0.7836219,0.22221632
171,Dlx6os1,0.18852647,0.3304934,0.17629136,0.2317704,0.9846708,0.22821754,0.37968215,0.37932026,1.0,0.8154678,0.35674995
172,Sall1,0.37032548,0.22384754,0.101337664,0.2318369,0.9841264,0.2281568,0.33409157,0.39973122,1.0,0.60995543,0.3665064
173,Fosb,0.0010920343,0.0356723,0.65567505,0.23081313,0.98689616,0.2277886,0.6050199,0.70407355,1.0,0.39554298,0.0990906
174,Gm10605,0.21522407,0.47435814,0.009026621,0.23286963,0.9779417,0.22773291,0.55055374,0.4963525,1.0,0.8721156,0.09717875
175,Kcnj6,0.22627282,0.47734037,0.010303225,0.23797213,0.9563174,0.2275769,0.80854684,0.6934206,1.0,0.4633463,0.18304421
176,Rps15,0.093403965,0.55417687,0.04490363,0.23082817,0.9831375,0.22693582,0.28888655,0.4415465,1.0,0.41631058,0.601341
177,Shisa3,0.19939314,0.48602718,0.025462199,0.23696084,0.95744944,0.22687803,0.6152094,0.50435895,1.0,0.7069117,0.017252814
178,Pfkp,0.20571959,0.4519335,0.029473353,0.22904216,0.99047023,0.22685944,0.6075173,0.56258893,1.0,0.59731424,0.5438283
179,Ahnak2,0.11719728,0.5907478,0.02563837,0.2445278,0.9276707,0.22684129,0.5771345,0.42908224,1.0,0.61906195,0.13715088
180,Psrc1,0.23880109,0.34825802,0.105455704,0.23083828,0.9821138,0.22670946,0.53656656,0.4494687,1.0,0.75553423,0.2635872
181,Dchs2,0.13102289,0.5288897,0.0785386,0.24615039,0.92082983,0.22666262,0.58806056,0.4196609,1.0,0.9699465,0.101944074
182,Mgat4c,0.052823547,0.5880607,0.06511268,0.2353323,0.9612958,0.22622395,0.66308707,0.5232994,1.0,0.5375819,0.15900296
183,Rps14,0.18196212,0.41248527,0.087224826,0.22722407,0.99315715,0.2256692,0.3548081,0.3956659,1.0,0.68663335,0.605241
184,RP23-238C13.2,0.19529034,0.4968801,0.029999804,0.24072342,0.9370377,0.22556692,0.61019605,0.4790769,1.0,0.6818189,0.045225915
185,Syn3,0.28325686,0.5127715,0.03390856,0.27664563,0.813684,0.22510213,0.5045416,0.41800594,1.0,0.9052092,0.31832072
186,Rpl17,0.13740823,0.45528314,0.09537816,0.22935651,0.9808086,0.22495484,0.3010795,0.4224761,1.0,0.49390396,0.6154994
